Título,Duración,Dificultad,Ingredientes
Rodaballo a la gallega,15min,medio,"['Aceite', 'Al', 'Ajo', 'Ajo', 'AceiteDeOliva', 'PimentónDulce', 'VinagreDeFruta', 'Pescado', 'Cebollas', 'Clavos', 'Zanahorias', 'Puerro', 'PimientaNegra', 'VinoBlanco', 'Ramito', 'HierbasAromáticas', 'Rodaballo', 'Sal', 'AceiteDeOliva']"
Merluza con espárragos y guisantes,20min,fácil,"['Ajo', 'AceiteDeOliva', 'VinoBlanco', 'Caldo', 'Pescado', 'Merluza', 'Guisantes', 'Puntas', 'EspárragosBlancos', 'Sal', 'Pimienta', 'AceiteDeOliva', 'Perejil']"
Merluza a la gallega,25min,fácil,"['Merluza', 'Sal', 'Pimienta', 'Ajo', 'AceiteVegetal', 'PimentónDulce', 'Patatas', 'Cebolletas']"
Magras con tomate,45min,fácil,"['Jamón', 'Gruesas', 'JamónSerrano', 'Leche', 'AceiteDeOliva', 'Huevo', 'Finas', 'Pan', 'Barra', 'Azúcar', 'VinoBlanco', 'VinagreDeVinoBlanco', 'Salsa', 'HierbasAromáticas', 'Tomates', 'AceiteDeOliva', 'Azúcar', 'Sal']"
Salsa romesco,2h,medio,"['Perejil', 'Tomates', 'Guindilla', 'Ajo', 'Avellanas', 'Almendras', 'Tostadas', 'PanBlanco', 'Tostado', 'Sal', 'Vinagre', 'VinoTinto', 'AceiteDeOliva', 'Aceite']"
Arroz negro con calamar y alioli,45min,fácil,"['Arroz', 'Aros', 'Calamar', 'Perejil', 'Tomates', 'Cebollas', 'Ajo', 'AceiteDeOliva', 'Arroz', 'Bomba', 'VinoBlanco', 'CaldoDePescado', 'Tinta', 'Calamar', 'Sal', 'Pimienta', 'Alioli', 'Mayonesa', 'Ajo']"
Pisto manchego,36min,fácil,"['PimientosRojos', 'Patatas', 'Calabacín', 'Tomates', 'Panceta', 'Cebollas', 'AceiteDeOliva', 'Sal', 'Pimienta', 'CaldoDeVerduras']"
Pulpo a la gallega,35min,fácil,"['Pulpo', 'Cebolla', 'AceiteDeOliva', 'Extra', 'Sal', 'Gruesa', 'PimentónDulce', 'PimentónPicante']"
Riñones al jerez,1h 30min,medio,"['Riñones', 'Ternera', 'Perejil', 'Cebolla', 'Ajo', 'AceiteDeOliva', 'Jerez', 'Sal', 'Pimienta']"
Mejillones al vino blanco,37min,fácil,"['Mejillones', 'Perejil', 'Cebolleta', 'Ajo', 'VinoBlanco', 'Sal', 'AceiteDeOliva']"
Leche frita,2h 32min,medio,"['Limón', 'Leche', 'Mantequilla', 'Yemas', 'Azúcar', 'HarinaDeRepostería', 'Maicena', 'AceiteVegetal', 'CanelaMolida', 'Huevo']"
Sardinas marinadas,30min,medio,"['Sardinas', 'Sal', 'HarinaDeRepostería', 'AceiteDeOliva', 'Cabeza', 'Ajos', 'Ramita', 'Orégano', 'Ramita', 'Tomillo', 'Laurel', 'PimientaNegra', 'VinoBlanco', 'Pimentón', 'Vinagre']"
Pechuga de pollo marinada,5h 56min,fácil,"['Cebollas', 'Ajo', 'AceiteDeOliva', 'De.', 'Pimienta', 'Laurel', 'CaldoDeAve', 'Vinagre', 'Vino', 'VinoBlanco', 'Azúcar', 'Sal', 'PechugaDePollo', 'Sal', 'Pimienta']"
Tarta de Santiago,1h 10min,fácil,"['Huevo', 'Azúcar', 'CanelaMolida', 'HarinaDeRepostería', 'Mantequilla', 'Limón', 'Almendras', 'Pelar', 'Huevos', 'Azúcar', 'CanelaMolida', 'Mantequilla', 'Harina', 'AzúcarGlas']"
Potaje de lentejas,51min,fácil,"['LentejasPardinas', 'Verdinas', 'HojaDeLaurel', 'PimientoVerde', 'Tomate', 'Cebolla', 'Ajo', 'AceiteDeOliva', 'PimentónDulce', 'Sal']"
Estofado de cordero,1h 25min,medio,"['Cebolla', 'Ajo', 'AceiteDeOliva', 'De', 'Pierna', 'Cordero', 'Sal', 'Pimienta', 'PimentónDulce', 'PimientaNegra', 'HojaDeLaurel', 'VinoBlanco', 'CaldoDeCarne', 'Hígado', 'Cordero', 'PimientoRojo', 'Tomate', 'Perejil']"
Tortillitas de camarones,30min,fácil,"['Cebolletas', 'Perejil', 'HarinaDeRepostería', 'Harina', 'Garbanzo', 'Sal', 'Camarones', 'AceiteDeOliva']"
Gambas al ajillo,24min,fácil,"['Gambas', 'Ajo', 'Guindilla', 'AceiteDeOliva', 'Sal']"
Potaje de garbanzos con hortalizas y chorizo,52min,fácil,"['Garbanzos', 'Puerro', 'Zanahorias', 'Chorizo', 'AceiteDeOliva', 'Patatas', 'CaldoDeVerduras', 'HojaDeLaurel', 'Sal', 'Pimienta']"
Cocido,9h 46min,medio,"['Garbanzos', 'Tocino', 'Panceta', 'Chorizos', 'Cebollas', 'Ajo', 'PimientosVerdes', 'PimientoRojo', 'AceiteDeOliva', 'JamónCurado', 'Zanahoria', 'Puerro', 'Puñados', 'Fideos', 'CaldoDeVerduras', 'Sal', 'PimentónDulce']"
Rabo de toro estofado,2h 39min,medio,"['Tomates', 'Zanahorias', 'Cebollas', 'Ajo', 'AceiteDeOliva', 'VinoTinto', 'Rabo', 'Toro', 'Sal', 'Pimienta']"
Papas arrugadas con mojo verde o rojo,1h 10min,fácil,"['MojoRojo', 'GuindillasS', 'Ajo', 'CominoMolido', 'Sal', 'PimentónPicante', 'AceiteDeOliva', 'VinagreDeVinoBlanco', 'MojoVerde', 'Perejil', 'Ajo', 'PimientosVerdes', 'CominoMolido', 'Sal', 'AceiteDeOliva', 'VinagreDeVinoBlanco', 'Patatas', 'Sal', 'Gruesa']"
Salmorejo,35min,fácil,"['PanBlanco', 'Ajo', 'Tomates', 'AceiteDeOliva', 'VinagreDeVinoBlanco', 'Sal', 'Huevo', 'PimientoVerde', 'JamónSerrano']"
Ajoblanco,20min,fácil,"['Pan', 'Almendras', 'Pelar', 'Ajo', 'Vinagre', 'Sal', 'Pimienta', 'Blanca', 'AceiteDeOliva', 'Melón', 'Uvas', 'Jamón', 'Opcional']"
Sopa de almendras salada,35min,fácil,"['Perejil', 'Cebolletas', 'PimientoRojo', 'PimientoVerde', 'Pan', 'Ajo', 'AceiteDeOliva', 'Almendras', 'AzafránMolido', 'CaldoDeAve', 'Sal', 'Pimienta']"
Pechuga de pollo a la naranja,5h 58min,fácil,"['Cebolla', 'Ajo', 'AceiteDeOliva', 'Naranjas', 'Laurel', 'VinagreDeManzana', 'Sal', 'PechugaDePollo', 'Sal', 'Pimienta']"
Pollo con langostinos,1h 30min,fácil,"['Tomates', 'Cebolla', 'Ajo', 'AceiteDeOliva', 'Romero', 'Sal', 'Azúcar', 'VinoBlanco', 'Aguardiente', 'CanelaMolida', 'CaldoDeAve', 'HarinaDeReposteríaPicada', 'Perejil', 'Avellanas', 'Tostadas', 'Almendras', 'Tostadas', 'Hebras', 'Azafrán', 'ChocolateNegro', 'Carne', 'Muslos', 'Pollo', 'Pollo', 'Entero', 'Langostinos', 'Intestinal', 'AceiteDeOliva']"
Coca de verduras con anchoas,2h 10min,medio,"['Harina', 'LevaduraS', 'Sal', 'PimientosRojos', 'Berenjenas', 'Tomates', 'Cebollas', 'Pimienta', 'AceiteDeOliva', 'Anchoas', 'Harina']"
Menestra de verduras,40min,medio,"['Alcachofas', 'Acelgas', 'JudíasVerdes', 'Apio', 'Sal', 'ZumoDeLimón', 'HarinaDeRepostería', 'Harina', 'Maíz', 'Fina', 'AceiteDeOliva', 'Ajo', 'Jamón', 'Ibérico', 'Pimienta']"
Olla catalana de pescado,55min,medio,"['Ajo', 'Almendras', 'Tostadas', 'Avellanas', 'Hebras', 'Azafrán', 'Perejil', 'Sal', 'CaldoDePescado', 'Pescado', 'Ajo', 'Cebolla', 'AceiteDeOliva', 'Tomates', 'CaldoDePescado', 'Patatas', 'Sal', 'Mero', 'Rape', 'Pimienta', 'Blanca']"
Bartolillos,2h,medio,"['AceiteDeOliva', 'VinoBlanco', 'AnísMolido', 'HarinaDeRepostería', 'Sal', 'CremaDe', 'Limón', 'Leche', 'Ramita', 'Canela', 'Yemas', 'Azúcar', 'Maicena', 'Harina', 'Aceite', 'AzúcarGlas', 'Canela']"
Zarzuela de pescado,1h,medio,"['Perejil', 'Mejillones', 'Rape', 'Calamares', 'Gambas', 'Ajo', 'Guindilla', 'Cebolletas', 'Tomate', 'PimientoVerde', 'AceiteDeOlivaCito', 'Hebras', 'Azafrán', 'Brandy', 'Sal', 'Pescado']"
Horchata,2h 10min,fácil,"['Chufas', 'Azúcar', 'CanelaMolida']"
Estofado de habas con alcachofas y jamón,1h 10min,medio,"['Alcachofas', 'ZumoDeLimón', 'Habas', 'Ajo', 'Cebolletas', 'AceiteDeOliva', 'JamónSerrano', 'CaldoDeVerduras', 'Sal', 'Pimienta']"
Migas,47min,fácil,"['PanBlanco', 'Cebolla', 'Ajo', 'PimientoVerde', 'Tomates', 'AceiteDeOliva', 'PimentónDulce', 'Sal']"
Sopas de ajo,45min,fácil,"['Parmesano', 'Pan', 'Ajo', 'AceiteDeOliva', 'PimentónDulce', 'CaldoDePollo', 'Huevos', 'CuencosS']"
Arroz con leche (receta básica),1h,fácil,"['Leche', 'Azúcar', 'Sal', 'Arroz']"
Masa de levadura dulce,35min,fácil,"['Levadura', 'Leche', 'Levadura', 'Levadura', 'Azúcar', 'Mantequilla', 'Huevo', 'HarinaDeRepostería', 'Sal']"
Pan de yogur,2h 30min,fácil,"['Pan', 'Azúcar', 'Levadura', 'HarinaDeRepostería', 'HarinaIntegralDeCenteno', 'Yogur', 'Sal', 'VinagreDeFruta', 'Extracto', 'Aceite', 'Harina']"
Pan de zanahoria y nueces,2h 15min,fácil,"['EspeltaCenteno', 'Zanahorias', 'Nueces', 'Agua', 'Espelta', 'Levadura', 'AceiteDeOliva', 'Cdtas.', 'Sal', 'Cdtas.', 'AzúcarMoreno', 'Vegetal']"
Panecillos de yogur,35min,fácil,"['Panecillos', 'Panecillos', 'Harina', 'Yogur', 'Levadura', 'AceiteVegetal', 'Sal', 'Extracto', 'Leche', 'SemillasDeAmapola', 'Harina']"
Baguette francesa clásica,3h 45min,medio,"['Levadura', 'Levadura', 'HarinaDeRepostería', 'Sal', 'Aceite', 'Harina']"
Pull-apart-bread con mantequilla a las hierbas,1h 5min,medio,"['Mantequilla', 'Chalote', 'Ajo', 'Albahaca', 'Perejil', 'Tomillo', 'Cdtas.', 'Orégano', 'Mantequilla', 'Mostaza', 'AceiteDeOliva', 'Pimienta', 'Sal', 'Pan', 'HarinaDeRepostería', 'Levadura', 'Azúcar', 'Cdtas.', 'Sal', 'AceiteDeOliva', 'Harina', 'Leche', 'Nata']"
Bagels,2h 10min,medio,"['Levadura', 'Cdtas.', 'AzúcarMoreno', 'HarinaDeRepostería', 'Cdtas.', 'Sal', 'AceiteDeOliva', 'Miel']"
Brioches,1h 45min,medio,"['Leche', 'Azúcar', 'Levadura', 'Mantequilla', 'Huevos', 'HarinaDeRepostería', 'Sal', 'Harina', 'YemaDeHuevo']"
Pastel de chocolate jugoso,40min,fácil,"['ChocolateNegro', 'Huevos', 'Sal', 'Mantequilla', 'Azúcar', 'HarinaDeRepostería', 'Mantequilla']"
Pastel de queso con salsa de fresa,1h 45min,fácil,"['Fresas', 'Mantequilla', 'Limón', 'Azúcar', 'Pulpa', 'Vainilla', 'QuarkDesnatado', 'Quark', 'Cremoso', 'NataLíquida', 'Huevos', 'Maicena', 'AzúcarGlas', 'ZumoDeLimón']"
Bizcocho mixto en vaso,1h 15min,fácil,"['Chocolate', 'ChocolateNegro', 'Mantequilla', 'Huevos', 'Azúcar', 'Sal', 'HarinaDeRepostería', 'Queso', 'Queso', 'Azúcar', 'Huevo', 'VainillaMolida', 'Mantequilla', 'Cdtas.', 'Chocolate']"
Compota de frutas rojas,30min,fácil,"['FrutasDelBosque', 'Guindas', 'Natillas', 'Azúcar', 'Limón']"
Crema de chocolate blanco con puré de frambuesa,15min,fácil,"['Azúcar', 'Frambuesas', 'ZumoDeLimón', 'ChocolateBlanco', 'Mascarpone', 'Yogur', 'Pulpa', 'Vainilla', 'Frambuesas', 'Menta']"
Trufas de licor de café con cacao,3h 35min,fácil,"['ChocolateConLeche', 'ChocolateNegro', 'Mantequilla', 'Licor', 'Café', 'Pulpa', 'Vainilla', 'Cacao']"
Almendras garrapiñadas con canela,33min,fácil,"['Almendras', 'AzúcarMoreno', 'AzúcarAvainillado', 'CanelaMolida', 'Mantequilla']"
Sabayón,17min,fácil,"['YemaDeHuevo', 'Azúcar', 'VinoDulce']"
Crema de bayas,8h 10min,fácil,"['Plátanos', 'Arándanos', 'Leche', 'Bayas']"
Yogur helado de mango,12h 10min,fácil,"['Yogur', 'Azúcar', 'MangoCongelado', 'NataLíquida']"
Ponche de frutas,32min,fácil,"['Manzanas', 'Jengibre', 'Zumo', 'Cereza', 'ZumoDeManzana', 'Cardamomo', 'Pulpa', 'Raspada', 'Vainilla', 'Clavos', 'Canela', 'Limón', 'Naranjas']"
Leche dorada,15min,fácil,"['CúrcumaMolida', 'Jengibre', 'NuezMoscada', 'Canela', 'Leche', 'Vegetal', 'AceiteDeCoco', 'SiropeDeAgave', 'Miel', 'Pimienta']"
Lassi de mango,5min,fácil,"['Mango', 'ZumoDeLimón', 'Yogur', 'Agua', 'Leche', 'Azúcar', 'Miel']"
Papilla de pera y ciruela,12min,fácil,"['Pera', 'Ciruelas', 'AceiteVegetal', 'ArrozIntegral']"
Papilla de espinacas y patata,20min,fácil,"['Carne', 'Ternera', 'Patatas', 'Espinacas', 'Cdtas.', 'AceiteVegetal']"
Papilla de manzana y galletas de arroz,9min,fácil,"['Manzana', 'GalletasDeArroz', 'AceiteVegetal']"
El primer puré de zanahoria,22min,fácil,"['Zanahorias', 'AceiteVegetal']"
Curry de calabaza y patata con leche de coco,48min,fácil,"['Patatas', 'Calabaza', 'SemillasDeCilantro', 'SemillasDeHinojo', 'Semillas', 'Comino', 'Semillas', 'MostazaNegra', 'Cebolla', 'Mantequilla', 'Cúrcuma', 'LecheDeCoco', 'Sal', 'Cilantro']"
Frittata de rúcula,33min,medio,"['Lechuga', 'Cebolla', 'AceiteDeOliva', 'Huevos', 'Sal', 'Pimienta', 'QuesoDeCabra', 'Mantequilla']"
Ratatouille,51min,fácil,"['Calabacín', 'Berenjena', 'PimientoRojo', 'Tomates', 'Cebolla', 'Ajo', 'Perejil', 'Albahaca', 'Tomillo', 'AceiteDeOliva', 'Sal', 'Pimienta']"
Crema de puerro,30min,fácil,"['Cebolla', 'Mantequilla', 'Puerro', 'CaldoDeVerduras', 'HarinaDeRepostería', 'NataLíquida', 'Sal', 'Pimienta', 'NuezMoscada']"
Tortilla de queso y jamón con canónigos,30min,fácil,"['Tortilla', 'Queso', 'Especiado', 'Cebollino', 'Cebolla', 'Huevos', 'Sal', 'Pimienta', 'JamónCocido', 'Ensalada', 'Canónigos', 'AceiteDeOliva', 'VinagreDeManzana', 'Miel', 'Mostaza', 'Sal', 'Pimienta']"
"Hojaldres con huevo, queso y chorizo",45min,medio,"['Hojaldre', 'Chorizo', 'Queso', 'Alpino', 'NataLíquida', 'Queso', 'Pimienta', 'Sal', 'Huevos', 'Cebollino']"
Tortilla de feta y rúcula con tomates secos,30min,fácil,"['Huevos', 'NataLíquida', 'Sal', 'Pimienta', 'LechugaFeta', 'Tomates', 'Aceite']"
Faláfel con salsa de yogur,12h 30min,medio,"['Garbanzos', 'Perejil', 'YogurGriego', 'Miel', 'Cdtas.', 'Sal', 'Pimienta', 'ZumoDeLimón', 'Cilantro', 'Chalotes', 'Ajo', 'Cdtas.', 'Harissa', 'Aceite']"
Nachos con salsa de queso,50min,fácil,"['Nachos', 'Tortillas', 'Harina', 'Aceite', 'Especiado', 'AceiteDeOliva', 'De', 'PimentónPicante', 'Sal', 'Pimienta', 'GuindillaMolida', 'Salsa', 'Queso', 'Leche', 'NataLíquida', 'Queso', 'Fundir', 'Sambal', 'Oelek', 'U', 'Otra', 'SalsaPicante', 'MostazaPicante', 'Sal', 'Vinagre', 'Claro', 'PimentónPicante', 'Jalapeños']"
Gachas de avena con manzana y canela,20min,fácil,"['Almendras', 'Manzanas', 'Avena', 'Leche', 'Canela', 'VainillaMolida', 'Miel']"
Ensalada Waldorf,2h 40min,fácil,"['Mayonesa', 'Huevos', 'ZumoDeLimón', 'Mostaza', 'Sal', 'Pimienta', 'Azúcar', 'AceiteDeGirasol', 'Ensalada', 'Manzanas', 'Apionabo', 'ZumoDeLimón', 'Nueces', 'Aceite', 'Nuez', 'Azúcar', 'Sal', 'Pimienta', 'Manzana']"
Ensalada de patata con ricota y albahaca,1h 40min,fácil,"['Parmesano', 'Patatas', 'Albahaca', 'Ricota', 'Leche', 'Sal', 'Pimienta', 'Tomates', 'Escurridos', 'Piñones']"
Gazpacho,40min,fácil,"['Tomates', 'PimientoVerde', 'Pepino', 'Cebolla', 'Ajo', 'Guindilla', 'AceiteDeOliva', 'VinagreDeManzana', 'Pimentón', 'Sal', 'Pimienta', 'Cebollino', 'Piñones', 'Hielo']"
Bifteki y pasta con tomate,45min,medio,"['Bifteki', 'Chalotes', 'Perejil', 'CarnePicada', 'Huevo', 'PanRallado', 'Sal', 'Pimienta', 'Hierbas', 'U', 'OréganoFeta', 'Pasta', 'Pasta', 'Arroz', 'Griega', 'Tomate', 'PimentónDulce', 'Sal', 'Pimienta', 'AceiteDeOliva', 'Albahaca']"
Pimientos rellenos con arroz Djuvec,50min,medio,"['PimientosRojos', 'Naranjas', 'Cebollas', 'Ajo', 'CarnePicadaDeTernera', 'Huevo', 'Pimentón', 'Mostaza', 'Cdtas.', 'Tomate', 'PanRallado', 'Pimienta', 'Sal', 'TomateTriturado', 'Cdtas.', 'Orégano', 'Azúcar', 'Arroz', 'CaldoDeVerduras', 'NataLíquida', 'Ajvar', 'Perejil']"
Solomillo de cerdo en salsa de manzana,44min,medio,"['SolomilloDeCerdo', 'Sal', 'Pimienta', 'Manzanas', 'Lazos', 'Pasta', 'Mantequilla', 'Estragón', 'NataLíquida', 'MostazaDeDijon']"
Filetes de buey al vacío,2h,medio,"['Cadera', 'Ternera', 'Sal', 'Pimienta', 'Adémas', 'AceiteDeGirasol']"
Sopa de pescado bullabesa,39min,medio,"['CalabacínDePescado', 'Variado', 'Marisco', 'Mejillones', 'Sal', 'Pimienta', 'Perejil', 'Cebolla', 'Ajo', 'Tomates', 'AceiteDeOliva', 'Zanahoria', 'Apionabo', 'Puerro', 'PimientoRojo', 'CaldoDeVerduras', 'ZumoDeManzana', 'CaldoDePescado', 'Cúrcuma']"
Crema de pimiento y ricota con miel,34min,fácil,"['PimientosRojos', 'Cebollas', 'Guindilla', 'AceiteDeOliva', 'CaldoDeVerduras', 'NataLíquida', 'Ricota', 'RomeroPicado', 'Miel', 'Sal', 'Pimienta']"
Pulled pork con ensalada de col,11h 7min,medio,"['Carne', 'Cebolla', 'Ajo', 'Harissa', 'JarabeDeArce', 'SalsaDeSoja', 'GuindillaMolida', 'PimentónPicante', 'Sal', 'Cdtas.', 'Pimienta', 'Tomate', 'Pizza', 'CarneDeCerdo', 'Del', 'Cuello', 'Grosor', 'Ensalada', 'Col', 'Zanahorias', 'Cebolla', 'SueroDeMantequilla', 'Leche', 'Mayonesa', 'VinagreDeManzana', 'Mostaza', 'Sal', 'Pimienta', 'AzúcarCon', 'Cierre', 'Hermético']"
Crema de champiñones,40min,fácil,"['Patatas', 'Zanahoria', 'Raíz', 'Perejil', 'Champiñones', 'CaldoDeVerduras', 'Nata', 'Sal', 'Pimienta', 'Perejil']"
Satay de pollo con arroz y hortalizas,35min,fácil,"['Ajo', 'Jengibre', 'CremaDeCacahueteCon', 'SalsaDeSoja', 'Miel', 'Zumo', 'Lima', 'Cdtas.', 'Curry', 'PechugaDePollo', 'Hortalizas', 'Arroz']"
Estofado de lentejas con salchichas,1h 8min,fácil,"['Zanahorias', 'Apionabo', 'Cebollas', 'Puerro', 'AceiteDeGirasol', 'LentejasPardinas', 'CaldoDeCarneGranulado', 'SalchichasDeCerdo', 'Cdtas.', 'Apio', 'Mejorana', 'Cdtas.', 'Sal', 'Pimienta', 'VinagreDeManzana']"
Pollo envuelto en beicon con puré de patata,40min,medio,"['Patatas', 'Sal', 'Zanahorias', 'Azúcar', 'PechugaDePollo', 'Pimienta', 'Beicon', 'Leche', 'Mantequilla', 'NuezMoscada', 'Rallada', 'Perejil']"
Sopa de cebada perlada con hortalizas,1h 5min,fácil,"['Perejil', 'Zanahorias', 'Raíz', 'Perejil', 'Apionabo', 'Patatas', 'Puerro', 'CaldoDeAve', 'CebadaPerlada', 'Sal', 'Pimienta']"
Crema de calabacín,30min,fácil,"['Cebolla', 'Ajo', 'Calabacín', 'Cubito', 'CaldoDeVerduras', 'Sal', 'Pimienta', 'Mantequilla', 'Queso']"
Arroz mar y montaña,52min,fácil,"['Perejil', 'Cebolla', 'Ajo', 'PimientosRojos', 'Hebras', 'Azafrán', 'Arroz', 'Cdtas', 'Sal', 'Marisco', 'VariadoCongelado', 'Guisantes', 'PechugaDePollo', 'Pimienta', 'LomoDe', 'Lucioperca', 'Salchicha', 'Especiada', 'AceiteDeOliva', 'Ave', 'CayenaMolida', 'Limón', 'Rodajas']"
Mejillones en salsa picante de tomate,55min,fácil,"['Perejil', 'Mejillones', 'Ajo', 'Guindillas', 'Cdtas.', 'SemillasDeHinojo', 'AceiteDeOliva', 'Tomate', 'Pizza', 'VinoBlanco', 'Sal', 'Pan', 'Pimienta']"
Espaguetis con crema de salmón,34min,fácil,"['LomoDeSalmón', 'Calabacín', 'NataLíquida', 'CaldoDeVerduras', 'HarinaDeRepostería', 'EneldoPicadoCongelado', 'Espaguetis', 'Lima', 'Sal', 'Pimienta']"
Mermelada de naranja,1h 55min,fácil,"['Naranjas', 'AzúcarMoreno', 'Azúcar', 'ZumoDeNaranja']"
Mermelada de frutos del bosque,2h 31min,fácil,"['Grosellas', 'Arándanos', 'Azúcar', 'Fresas', 'Frambuesas', 'ZumoDeLimón']"
Crema de atún con ensalada,1h 15min,fácil,"['Atún', 'Atún', 'Al', 'Perejil', 'Alcaparras', 'Queso', 'ZumoDeLimón', 'Pimienta', 'Sal', 'Ensalada', 'Lollo', 'Bionda', 'Lechuga', 'Hoja', 'Roble', 'Lechuga', 'VinagreDeFruta', 'Mostaza', 'AceiteDeOliva', 'Miel', 'Pimienta', 'Sal', 'Tostaditas']"
Quiche de col de Milán y salmón ahumado,2h 36min,medio,"['Mantequilla', 'HarinaDeRepostería', 'QuarkDesnatado', 'Huevo', 'Sal', 'Col', 'Limpia', 'Aceite', 'Sal', 'Pimienta', 'NuezMoscada', 'SalmónAhumado', 'Tomates', 'NataLíquida', 'Nata', 'Huevos', 'TomatesCherry', 'Mantequilla', 'Harina', 'Legumbres']"
Pasta con gorgonzola y nueces,26min,fácil,"['Plumas', 'Sal', 'Perejil', 'PerejilPicado', 'NataLíquida', 'Gorgonzola', 'NuecesPicadas', 'Pimienta']"
Crema de aguacate,5min,fácil,"['Aguacate', 'Eneldo', 'NataAgria', 'SalmónAhumado', 'ZumoDeLimón', 'Recién', 'Exprimido', 'Sal', 'Pimienta']"
Pesto de cilantro,5min,fácil,"['Ajo', 'Jengibre', 'Guindilla', 'Lima', 'Cilantro', 'AnacardosTostadosSalados', 'AceiteVegetal', 'AceiteDeSésamo']"
Kétchup,2h 25min,fácil,"['Tomates', 'Cebolla', 'Ajo', 'Tomates', 'Azúcar', 'Clavos', 'Cardamomo', 'Pimienta', 'PimentónPicante', 'PimientaMolida', 'MacisMolido', 'NuezMoscada', 'Canela', 'VinagreDeManzana', 'Sal']"
Salsa de tomate,34min,fácil,"['Cebollas', 'Ajo', 'AceiteDeOliva', 'Albahaca', 'TomateTriturado', 'Cdtas.', 'Azúcar', 'Cdtas.', 'Orégano', 'Cdtas.', 'Mejorana', 'Cdtas.', 'Sal', 'Pimienta']"
Pastel de manzana,55min,fácil,"['Manzanas', 'Huevos', 'Azúcar', 'Cdtas.S', 'Levadura', 'HarinaDeRepostería', 'Canela', 'Mantequilla', 'PanRallado']"
Corona de licor de huevo,2h 15min,fácil,"['Cerezas', 'Mantequilla', 'Azúcar', 'AzúcarAvainillado', 'Huevos', 'HarinaDeRepostería', 'Levadura', 'Licor', 'Huevo', 'Sal', 'Mantequilla', 'PanRallado', 'AzúcarGlas', 'Zumo', 'Cereza']"
Trenza de pan dulce con pasas,2h,medio,"['Pasas', 'Leche', 'Azúcar', 'Mantequilla', 'Levadura', 'HarinaDeRepostería', 'Huevo', 'Sal', 'Limón', 'Harina', 'Mantequilla', 'Yema', 'Huevo', 'Leche', 'Puñado', 'Almendra']"
Panecillos de domingo,1h 15min,medio,"['Panecillos', 'Panecillos', 'Barritas', 'Pan', 'Levadura', 'Leche', 'Cdtas.', 'Sal', 'Miel', 'Mantequilla', 'HarinaDeRepostería', 'Harina']"
Sol de panecillos,1h 20min,fácil,"['Panecillos', 'Panecillos', 'Levadura', 'Azúcar', 'Sal', 'HarinaDeRepostería', 'AceiteDeOliva', 'Huevo', 'Leche', 'SemillasDeAmapola', 'SemillasDeSésamo']"
Pan de espelta,1h 55min,fácil,"['Pan', 'HarinaIntegral', 'Espelta', 'Sal', 'Levadura', 'Miel', 'Aceite', 'Semillas', 'Yema', 'Un', 'Huevo', 'Leche', 'Aceite', 'Salvado', 'PanRallado']"
Postre de sémola con compota de albaricoque y cereza,34min,fácil,"['Compota', 'Albaricoques', 'Cerezas', 'Miel', 'ZumoDeLimón', 'Recién', 'Exprimido', 'Sémola', 'Pistachos', 'Leche', 'NataLíquida', 'Azúcar', 'SémolaDeTrigo', 'Blando']"
Arroz con leche con compota de frambuesa y ruibarbo,2h 38min,fácil,"['Nata', 'Ruibarbo', 'Frambuesas', 'Vainilla', 'Azúcar', 'Leche', 'Sal', 'Arroz', 'Limón']"
Pudin de vainilla,11min,fácil,"['Vainilla', 'Leche', 'YemaDeHuevo', 'Azúcar', 'Sal', 'Maicena']"
Pudin de chocolate,1h 42min,fácil,"['ChocolateNegro', 'Azúcar', 'AzúcarAvainillado', 'Leche', 'Maicena', 'Yema', 'Un', 'Huevo', 'Vainilla', 'Leche', 'Maicena', 'Azúcar', 'Yema', 'Un', 'Huevo']"
Sorbete de fruta,10min,fácil,"['Fruta', 'Variada', 'Azúcar', 'Zumo', 'Limas', 'Hielo']"
Helado de leche,6h 38min,fácil,"['Leche', 'NataLíquida', 'Azúcar', 'Sal', 'YemaDeHuevo']"
Licor de fresa con vodka,38min,fácil,"['Azúcar', 'Fresas', 'ZumoDeLimón', 'Recién', 'Exprimido', 'Vodka']"
Licor de huevo,44min,fácil,"['YemaDeHuevo', 'AzúcarAvainillado', 'AzúcarGlas', 'NataLíquida', 'RonBlanco', 'Aguardiente']"
Granizado de menta y lima,1h 5min,fácil,"['Infusión', 'Menta', 'Menta', 'Hielo', 'Zumo', 'Lima', 'AzúcarMoreno']"
Limonada de sandía,40min,fácil,"['Azúcar', 'Sandía', 'ZumoDeLimón', 'AguaConGas', 'Hojitas', 'Menta']"
Batido matutino,10min,fácil,"['MelónAmarillo', 'Piña', 'Aguacate', 'Naranja', 'Plátano', 'ZumoDeLimón', 'ZumoDeNaranja', 'Hielo']"
Pasta con queso,15min,fácil,"['Pasta', 'Sal', 'Queso', 'Alpino', 'U', 'Otro', 'Queso', 'Especiado', 'Parmesano', 'HarinaDeRepostería', 'Mantequilla', 'NuezMoscada', 'Leche', 'Pimienta']"
Bolitas de espinacas con mantequilla y parmesano,1h 8min,fácil,"['Parmesano', 'Panecillos', 'Chalote', 'Ajo', 'AceiteDeOliva', 'Espinacas', 'Leche', 'Huevos', 'Sal', 'Pimienta', 'NuezMoscada', 'HarinaDeRepostería', 'Mantequilla']"
